latitude,longitude,ALLSKY_SFC_SW_DWN_ANN,RH2M_ANN,T2M_ANN,WS2M_ANN
22.0,25.0,6.7795,24.3,22.93,2.85
22.0,25.5,6.7795,25.83,22.1,2.82
22.0,26.0,6.7493,26.28,22.31,2.73
22.0,26.5,6.7493,26.28,22.31,2.73
22.0,27.0,6.6991,26.41,22.65,2.89
22.0,27.5,6.6991,26.0,23.34,3.04
22.0,28.0,6.6758,25.79,23.65,3.17
22.0,28.5,6.6758,25.45,23.94,3.28
22.0,29.0,6.6478,25.45,23.94,3.28
22.0,29.5,6.6478,24.74,24.47,3.31
22.0,30.0,6.6569,24.28,24.78,3.42
22.0,30.5,6.6569,24.46,24.82,3.49
22.0,31.0,6.6398,26.28,25.89,3.55
22.0,31.5,6.6398,26.28,25.89,3.55
22.0,32.0,6.6094,25.9,25.83,3.3
22.0,32.5,6.6094,25.41,25.8,3.25
22.0,33.0,6.5822,24.96,26.94,3.33
22.0,33.5,6.5822,25.5,27.45,3.29
22.0,34.0,6.5357,25.5,27.45,3.29
22.0,34.5,6.5357,27.72,27.7,3.13
22.0,35.0,6.299,31.78,26.59,3.18
22.5,25.0,6.7795,25.56,22.34,2.92
22.5,25.5,6.7795,26.95,21.45,2.84
22.5,26.0,6.7493,26.78,21.99,2.9
22.5,26.5,6.7493,26.78,21.99,2.9
22.5,27.0,6.6991,26.96,22.57,2.85
22.5,27.5,6.6991,26.48,23.29,3.09
22.5,28.0,6.6758,26.37,23.57,3.24
22.5,28.5,6.6758,25.85,23.99,3.27
22.5,29.0,6.6478,25.85,23.99,3.27
22.5,29.5,6.6478,25.19,24.49,3.27
22.5,30.0,6.6569,24.44,25.1,3.3
22.5,30.5,6.6569,24.45,25.21,3.27
22.5,31.0,6.6398,24.57,25.7,3.32
22.5,31.5,6.6398,24.57,25.7,3.32
22.5,32.0,6.6094,27.47,26.55,3.47
22.5,32.5,6.6094,26.67,26.45,3.28
22.5,33.0,6.5822,25.49,26.92,3.21
22.5,33.5,6.5822,25.02,27.63,3.32
22.5,34.0,6.5357,25.02,27.63,3.32
22.5,34.5,6.5357,28.17,27.02,3.28
22.5,35.0,6.299,34.74,25.97,2.89
23.0,25.0,6.6367,26.88,22.02,2.71
23.0,25.5,6.6367,26.72,21.94,2.97
23.0,26.0,6.725,27.88,21.32,3.08
23.0,26.5,6.725,27.88,21.32,3.08
23.0,27.0,6.6634,26.99,22.74,3.15
23.0,27.5,6.6634,27.21,23.0,3.35
23.0,28.0,6.6379,26.95,23.48,3.35
23.0,28.5,6.6379,26.26,24.01,3.36
23.0,29.0,6.5942,26.26,24.01,3.36
23.0,29.5,6.5942,25.69,24.44,3.37
23.0,30.0,6.5724,24.98,25.05,3.42
23.0,30.5,6.5724,24.64,25.39,3.38
23.0,31.0,6.6187,23.69,26.08,3.39
23.0,31.5,6.6187,23.69,26.08,3.39
23.0,32.0,6.5707,24.71,25.92,3.47
23.0,32.5,6.5707,28.04,26.18,3.42
23.0,33.0,6.5482,26.06,27.07,3.38
23.0,33.5,6.5482,25.74,26.29,3.4
23.0,34.0,6.5066,25.74,26.29,3.4
23.0,34.5,6.5066,28.89,25.9,3.07
23.0,35.0,6.211,33.95,27.08,2.66
23.5,25.0,6.6367,26.56,22.69,2.9
23.5,25.5,6.6367,27.93,21.4,3.3
23.5,26.0,6.725,30.39,20.19,3.09
23.5,26.5,6.725,30.39,20.19,3.09
23.5,27.0,6.6634,29.07,21.64,3.21
23.5,27.5,6.6634,28.79,22.3,3.33
23.5,28.0,6.6379,28.02,23.08,3.41
23.5,28.5,6.6379,26.99,23.8,3.46
23.5,29.0,6.5942,26.99,23.8,3.46
23.5,29.5,6.5942,26.46,24.16,3.53
23.5,30.0,6.5724,25.82,24.77,3.56
23.5,30.5,6.5724,25.56,25.07,3.52
23.5,31.0,6.6187,25.2,25.08,3.52
23.5,31.5,6.6187,25.2,25.08,3.52
23.5,32.0,6.5707,25.38,24.83,3.61
23.5,32.5,6.5707,27.29,25.98,3.55
23.5,33.0,6.5482,25.55,26.66,3.46
23.5,33.5,6.5482,26.89,25.72,3.07
23.5,34.0,6.5066,26.89,25.72,3.07
23.5,34.5,6.5066,28.14,26.39,2.86
