latitude,longitude,ALLSKY_SFC_SW_DWN_JAN,ALLSKY_SFC_SW_DWN_FEB,ALLSKY_SFC_SW_DWN_MAR,ALLSKY_SFC_SW_DWN_APR,ALLSKY_SFC_SW_DWN_MAY,ALLSKY_SFC_SW_DWN_JUN,ALLSKY_SFC_SW_DWN_JUL,ALLSKY_SFC_SW_DWN_AUG,ALLSKY_SFC_SW_DWN_SEP,ALLSKY_SFC_SW_DWN_OCT,ALLSKY_SFC_SW_DWN_NOV,ALLSKY_SFC_SW_DWN_DEC,ALLSKY_SFC_SW_DWN_ANN,RH2M_JAN,RH2M_FEB,RH2M_MAR,RH2M_APR,RH2M_MAY,RH2M_JUN,RH2M_JUL,RH2M_AUG,RH2M_SEP,RH2M_OCT,RH2M_NOV,RH2M_DEC,RH2M_ANN,T2M_JAN,T2M_FEB,T2M_MAR,T2M_APR,T2M_MAY,T2M_JUN,T2M_JUL,T2M_AUG,T2M_SEP,T2M_OCT,T2M_NOV,T2M_DEC,T2M_ANN,WS2M_JAN,WS2M_FEB,WS2M_MAR,WS2M_APR,WS2M_MAY,WS2M_JUN,WS2M_JUL,WS2M_AUG,WS2M_SEP,WS2M_OCT,WS2M_NOV,WS2M_DEC,WS2M_ANN
22.0,25.0,5.1413,5.987,6.9679,7.6558,7.9409,8.1559,8.1149,7.7208,7.1794,6.2352,5.3686,4.854,6.7795,38.16,28.43,20.32,15.89,15.17,15.71,17.78,19.21,20.84,25.96,33.37,40.67,24.3,11.92,14.93,19.41,24.48,28.33,30.46,30.65,31.1,28.46,24.05,17.79,13.23,22.93,2.59,2.76,2.87,2.94,2.98,3.13,3.0,2.96,3.14,2.86,2.42,2.51,2.85
22.0,25.5,5.1413,5.987,6.9679,7.6558,7.9409,8.1559,8.1149,7.7208,7.1794,6.2352,5.3686,4.854,6.7795,40.61,30.34,21.69,16.85,16.01,16.49,18.36,19.78,21.99,27.69,36.35,43.83,25.83,11.06,14.02,18.49,23.5,27.38,29.62,30.05,30.54,27.71,23.22,16.84,12.33,22.1,2.64,2.75,2.83,2.89,2.93,3.06,2.87,2.84,3.09,2.88,2.48,2.59,2.82
22.0,26.0,5.1223,5.9647,6.8962,7.5991,7.9027,8.1403,8.106,7.7124,7.141,6.2028,5.34,4.8322,6.7493,41.18,30.84,22.15,17.14,16.24,16.65,18.31,19.69,22.39,28.46,37.55,44.82,26.28,11.26,14.19,18.6,23.57,27.51,29.84,30.49,30.96,27.95,23.41,17.03,12.53,22.31,2.48,2.56,2.7,2.75,2.81,2.97,2.71,2.7,3.09,2.95,2.48,2.5,2.73
22.0,26.5,5.1223,5.9647,6.8962,7.5991,7.9027,8.1403,8.106,7.7124,7.141,6.2028,5.34,4.8322,6.7493,41.18,30.84,22.15,17.14,16.24,16.65,18.31,19.69,22.39,28.46,37.55,44.82,26.28,11.26,14.19,18.6,23.57,27.51,29.84,30.49,30.96,27.95,23.41,17.03,12.53,22.31,2.48,2.56,2.7,2.75,2.81,2.97,2.71,2.7,3.09,2.95,2.48,2.5,2.73
22.0,27.0,5.0724,5.9251,6.8633,7.5895,7.8708,8.1022,8.0494,7.6366,7.0481,6.1272,5.2836,4.7911,6.6991,41.12,30.97,22.35,17.3,16.31,16.72,18.36,19.7,22.58,28.68,37.91,44.92,26.41,11.65,14.48,18.84,23.77,27.78,30.17,30.89,31.36,28.3,23.79,17.42,12.92,22.65,2.57,2.62,2.82,2.86,2.95,3.14,2.81,2.85,3.39,3.28,2.73,2.67,2.89
22.0,27.5,5.0724,5.9251,6.8633,7.5895,7.8708,8.1022,8.0494,7.6366,7.0481,6.1272,5.2836,4.7911,6.6991,40.58,30.54,22.11,17.04,16.0,16.39,18.05,19.3,22.16,28.08,37.39,44.36,26.0,12.26,15.08,19.46,24.38,28.45,30.89,31.65,32.11,29.04,24.58,18.13,13.56,23.34,2.63,2.7,2.92,2.97,3.08,3.3,2.94,3.04,3.62,3.5,2.91,2.78,3.04
22.0,28.0,5.0525,5.9023,6.8686,7.5914,7.8802,8.0933,8.0323,7.6116,7.0162,6.0984,5.1917,4.7419,6.6758,40.47,30.39,21.95,16.87,15.83,16.17,17.92,19.13,21.89,27.64,37.1,44.15,25.79,12.5,15.34,19.75,24.69,28.78,31.21,31.96,32.45,29.39,25.01,18.46,13.83,23.65,2.71,2.8,3.03,3.1,3.23,3.46,3.09,3.25,3.83,3.67,3.04,2.87,3.17
22.0,28.5,5.0525,5.9023,6.8686,7.5914,7.8802,8.0933,8.0323,7.6116,7.0162,6.0984,5.1917,4.7419,6.6758,40.19,30.09,21.64,16.58,15.58,15.94,17.76,18.93,21.51,27.06,36.56,43.54,25.45,12.73,15.59,20.05,24.99,29.08,31.48,32.18,32.72,29.72,25.44,18.78,14.11,23.94,2.8,2.91,3.12,3.22,3.36,3.59,3.19,3.4,3.95,3.73,3.1,2.94,3.28
22.0,29.0,5.0513,5.8718,6.8626,7.5521,7.8506,8.093,7.968,7.5048,6.9504,6.067,5.2236,4.7484,6.6478,40.19,30.09,21.64,16.58,15.58,15.94,17.76,18.93,21.51,27.06,36.56,43.54,25.45,12.73,15.59,20.05,24.99,29.08,31.48,32.18,32.72,29.72,25.44,18.78,14.11,23.94,2.8,2.91,3.12,3.22,3.36,3.59,3.19,3.4,3.95,3.73,3.1,2.94,3.28
22.0,29.5,5.0513,5.8718,6.8626,7.5521,7.8506,8.093,7.968,7.5048,6.9504,6.067,5.2236,4.7484,6.6478,39.2,29.22,21.01,16.12,15.16,15.52,17.36,18.51,20.88,26.17,35.48,42.24,24.74,13.25,16.17,20.59,25.54,29.59,31.93,32.58,33.17,30.26,26.1,19.38,14.67,24.47,2.85,2.99,3.17,3.29,3.42,3.62,3.21,3.44,3.96,3.73,3.1,2.95,3.31
