latitude,longitude,ALLSKY_SFC_SW_DWN_JAN,ALLSKY_SFC_SW_DWN_FEB,ALLSKY_SFC_SW_DWN_MAR,ALLSKY_SFC_SW_DWN_APR,ALLSKY_SFC_SW_DWN_MAY,ALLSKY_SFC_SW_DWN_JUN,ALLSKY_SFC_SW_DWN_JUL,ALLSKY_SFC_SW_DWN_AUG,ALLSKY_SFC_SW_DWN_SEP,ALLSKY_SFC_SW_DWN_OCT,ALLSKY_SFC_SW_DWN_NOV,ALLSKY_SFC_SW_DWN_DEC,ALLSKY_SFC_SW_DWN_ANN,RH2M_JAN,RH2M_FEB,RH2M_MAR,RH2M_APR,RH2M_MAY,RH2M_JUN,RH2M_JUL,RH2M_AUG,RH2M_SEP,RH2M_OCT,RH2M_NOV,RH2M_DEC,RH2M_ANN,T2M_JAN,T2M_FEB,T2M_MAR,T2M_APR,T2M_MAY,T2M_JUN,T2M_JUL,T2M_AUG,T2M_SEP,T2M_OCT,T2M_NOV,T2M_DEC,T2M_ANN,WS2M_JAN,WS2M_FEB,WS2M_MAR,WS2M_APR,WS2M_MAY,WS2M_JUN,WS2M_JUL,WS2M_AUG,WS2M_SEP,WS2M_OCT,WS2M_NOV,WS2M_DEC,WS2M_ANN
30.5,31.5,3.4531,4.2442,5.5603,6.6005,7.4414,7.9829,7.782,7.1462,6.2998,4.9836,3.7831,3.2042,5.7127,62.74,59.18,54.19,48.8,44.06,43.73,46.29,48.75,52.35,57.15,60.47,62.91,53.37,12.91,14.31,17.51,21.14,25.61,28.92,30.38,30.34,28.02,24.39,19.62,14.97,22.38,2.43,2.45,2.7,2.89,3.04,3.06,2.8,2.59,2.62,2.51,2.35,2.42,2.66
30.5,32.0,3.5263,4.349,5.7098,6.7987,7.645,8.2169,8.041,7.44,6.4056,5.0448,3.8688,3.299,5.8685,61.72,58.81,54.31,49.44,44.76,43.91,44.58,47.73,53.11,58.33,60.94,62.02,53.28,12.78,14.15,17.33,20.85,25.27,28.54,30.31,30.22,27.7,24.13,19.35,14.8,22.16,2.43,2.4,2.6,2.75,2.86,2.82,2.53,2.39,2.45,2.36,2.23,2.38,2.52
30.5,32.5,3.5263,4.349,5.7098,6.7987,7.645,8.2169,8.041,7.44,6.4056,5.0448,3.8688,3.299,5.8685,62.44,59.36,56.41,51.68,48.42,49.66,50.26,53.43,58.01,61.72,62.34,62.94,56.38,12.36,13.8,16.72,20.05,24.12,27.0,28.88,28.89,26.61,23.44,18.82,14.31,21.28,2.64,2.72,3.01,3.15,3.17,3.1,2.82,2.76,2.89,2.74,2.48,2.52,2.83
30.5,33.0,3.6005,4.5034,5.8769,7.0018,7.8247,8.4302,8.2303,7.5914,6.5347,5.1636,3.9811,3.3653,6.0149,65.12,61.76,59.19,54.79,51.32,53.61,55.09,59.07,63.95,66.77,65.13,64.96,60.06,10.8,12.25,15.04,18.23,22.14,24.77,26.58,26.58,24.5,21.57,17.05,12.69,19.38,2.89,2.94,3.12,3.12,3.05,2.93,2.7,2.66,2.82,2.69,2.52,2.69,2.84
30.5,33.5,3.6005,4.5034,5.8769,7.0018,7.8247,8.4302,8.2303,7.5914,6.5347,5.1636,3.9811,3.3653,6.0149,65.05,62.29,59.41,54.11,50.6,52.66,53.69,57.84,62.61,65.3,63.47,63.72,59.22,10.8,12.24,15.19,18.64,22.69,25.33,27.22,27.2,25.11,22.17,17.27,12.72,19.75,2.66,2.68,2.82,2.9,2.94,2.94,2.79,2.76,2.81,2.54,2.28,2.42,2.71
30.5,34.0,3.5525,4.4616,5.8154,6.9617,7.7842,8.4194,8.213,7.5732,6.5227,5.1586,3.9658,3.3518,5.9878,65.05,62.29,59.41,54.11,50.6,52.66,53.69,57.84,62.61,65.3,63.47,63.72,59.22,10.8,12.24,15.19,18.64,22.69,25.33,27.22,27.2,25.11,22.17,17.27,12.72,19.75,2.66,2.68,2.82,2.9,2.94,2.94,2.79,2.76,2.81,2.54,2.28,2.42,2.71
30.5,34.5,3.5525,4.4616,5.8154,6.9617,7.7842,8.4194,8.213,7.5732,6.5227,5.1586,3.9658,3.3518,5.9878,66.29,62.27,57.71,50.81,47.19,50.13,52.16,57.06,61.71,63.59,61.84,64.03,57.89,10.04,11.69,14.91,18.58,22.65,25.13,26.84,26.8,24.87,21.87,16.66,11.94,19.37,2.51,2.61,2.8,2.88,2.97,2.99,2.8,2.83,2.92,2.61,2.34,2.35,2.72
31.0,25.0,3.0787,3.8882,5.2526,6.4582,7.2053,7.9058,7.902,7.291,6.114,4.6471,3.4651,2.8171,5.509,68.11,63.7,57.98,51.11,47.01,47.15,51.03,53.48,54.36,59.04,63.96,68.64,57.12,10.62,11.72,14.81,18.59,22.85,26.19,27.68,27.83,25.92,21.94,16.7,12.5,19.82,3.32,3.43,3.41,3.48,3.45,3.63,3.78,3.48,3.26,2.83,2.64,3.17,3.32
31.0,25.5,3.0787,3.8882,5.2526,6.4582,7.2053,7.9058,7.902,7.291,6.114,4.6471,3.4651,2.8171,5.509,68.41,64.65,60.29,54.29,50.54,51.55,55.51,57.57,57.58,61.34,65.36,69.09,59.67,10.6,11.62,14.46,18.02,22.14,25.35,26.84,27.09,25.31,21.58,16.6,12.49,19.38,3.4,3.48,3.41,3.44,3.4,3.56,3.7,3.39,3.22,2.82,2.67,3.25,3.31
31.0,26.0,3.0038,3.811,5.2109,6.4337,7.1503,7.782,7.7126,7.1242,6.0461,4.5859,3.3365,2.706,5.4151,68.7,65.41,61.4,55.87,52.02,52.95,56.26,58.26,58.76,62.51,66.59,69.48,60.68,10.86,11.81,14.49,17.89,21.95,25.2,26.77,27.04,25.21,21.6,16.78,12.77,19.4,3.43,3.52,3.44,3.45,3.38,3.54,3.72,3.38,3.21,2.85,2.68,3.26,3.32
31.0,26.5,3.0038,3.811,5.2109,6.4337,7.1503,7.782,7.7126,7.1242,6.0461,4.5859,3.3365,2.706,5.4151,68.7,65.41,61.4,55.87,52.02,52.95,56.26,58.26,58.76,62.51,66.59,69.48,60.68,10.86,11.81,14.49,17.89,21.95,25.2,26.77,27.04,25.21,21.6,16.78,12.77,19.4,3.43,3.52,3.44,3.45,3.38,3.54,3.72,3.38,3.21,2.85,2.68,3.26,3.32
31.0,27.0,2.8949,3.7145,5.046,6.1848,6.9168,7.3951,7.3346,6.7841,5.7797,4.3961,3.2268,2.6472,5.1996,68.71,65.89,62.74,57.95,54.13,55.09,57.78,59.88,60.5,64.02,67.73,69.74,62.0,10.9,11.78,14.35,17.58,21.58,24.8,26.46,26.74,24.92,21.44,16.77,12.81,19.21,3.56,3.64,3.55,3.51,3.41,3.57,3.77,3.42,3.26,2.93,2.77,3.37,3.4
31.0,27.5,2.8949,3.7145,5.046,6.1848,6.9168,7.3951,7.3346,6.7841,5.7797,4.3961,3.2268,2.6472,5.1996,67.94,66.44,64.96,61.41,58.83,59.32,60.62,61.74,62.15,64.9,67.01,68.4,63.64,12.35,12.93,15.07,17.87,21.52,24.78,26.66,27.1,25.43,22.29,18.11,14.33,19.9,4.04,4.05,3.89,3.76,3.59,3.76,4.05,3.7,3.56,3.28,3.18,3.83,3.72
