-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 05/15/2020 through 06/17/2020 in LST
Location: Latitude  20.76   Longitude 72.86 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 59.04 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,WS2M,RH2M,ALLSKY_SFC_SW_DWN
2020,5,15,0,3.01,69.91,0.0
2020,5,15,1,2.7,72.66,0.0
2020,5,15,2,2.21,73.94,0.0
2020,5,15,3,1.64,74.94,0.0
2020,5,15,4,1.29,75.88,0.0
2020,5,15,5,1.1,75.71,4.8
2020,5,15,6,1.98,64.83,102.7
2020,5,15,7,2.45,47.76,299.83
2020,5,15,8,2.75,36.24,513.9
2020,5,15,9,2.65,30.73,704.58
2020,5,15,10,2.39,27.62,843.67
2020,5,15,11,2.29,24.98,917.45
2020,5,15,12,2.42,22.99,949.55
2020,5,15,13,2.71,21.81,888.05
2020,5,15,14,3.02,21.42,761.72
2020,5,15,15,3.29,21.91,582.5
2020,5,15,16,3.52,23.44,364.77
2020,5,15,17,3.71,26.2,152.68
2020,5,15,18,4.01,32.08,14.0
2020,5,15,19,4.61,42.16,0.0
2020,5,15,20,4.61,51.33,0.0
2020,5,15,21,4.44,56.25,0.0
2020,5,15,22,4.16,59.72,0.0
2020,5,15,23,3.83,62.96,0.0
2020,5,16,0,3.49,65.85,0.0
2020,5,16,1,3.2,68.33,0.0
2020,5,16,2,2.8,70.34,0.0
2020,5,16,3,2.49,71.88,0.0
2020,5,16,4,2.32,72.85,0.0
2020,5,16,5,2.24,73.1,4.53
2020,5,16,6,2.88,67.03,90.47
2020,5,16,7,3.35,55.46,246.95
2020,5,16,8,3.26,46.29,482.8
2020,5,16,9,2.96,38.36,677.92
2020,5,16,10,2.69,32.51,817.42
2020,5,16,11,2.6,28.21,910.08
2020,5,16,12,2.84,25.19,923.17
2020,5,16,13,3.26,23.29,879.78
2020,5,16,14,3.65,22.65,752.42
2020,5,16,15,3.96,23.44,561.03
2020,5,16,16,4.12,25.21,333.62
2020,5,16,17,4.11,28.19,140.43
2020,5,16,18,4.22,34.78,13.62
2020,5,16,19,4.59,45.45,0.0
2020,5,16,20,4.63,53.84,0.0
2020,5,16,21,4.65,58.81,0.0
2020,5,16,22,4.62,61.72,0.0
2020,5,16,23,4.33,64.99,0.0
2020,5,17,0,4.05,67.33,0.0
2020,5,17,1,3.74,69.47,0.0
2020,5,17,2,3.31,71.12,0.0
2020,5,17,3,2.85,72.31,0.0
2020,5,17,4,2.45,73.46,0.0
2020,5,17,5,2.1,74.5,5.03
2020,5,17,6,2.74,67.59,84.28
2020,5,17,7,2.96,54.26,214.75
2020,5,17,8,3.31,44.06,409.75
2020,5,17,9,3.66,36.94,557.92
2020,5,17,10,3.9,32.1,715.1
2020,5,17,11,4.01,28.71,806.58
2020,5,17,12,3.99,26.1,815.75
2020,5,17,13,3.88,23.74,647.47
2020,5,17,14,3.75,22.14,648.85
2020,5,17,15,3.63,21.53,463.5
2020,5,17,16,3.53,22.05,245.95
2020,5,17,17,3.37,24.08,110.75
2020,5,17,18,3.23,29.88,12.48
2020,5,17,19,3.91,40.4,0.0
2020,5,17,20,4.1,50.99,0.0
2020,5,17,21,4.0,59.63,0.0
2020,5,17,22,3.76,67.25,0.0
2020,5,17,23,3.48,71.77,0.0
2020,5,18,0,2.92,72.92,0.0
2020,5,18,1,2.02,72.37,0.0
2020,5,18,2,1.49,71.31,0.0
2020,5,18,3,1.36,68.07,0.0
2020,5,18,4,1.4,64.47,0.0
2020,5,18,5,1.59,62.43,5.3
2020,5,18,6,2.81,58.38,101.32
2020,5,18,7,3.81,51.24,278.3
2020,5,18,8,4.49,42.76,511.85
2020,5,18,9,4.94,33.62,690.88
2020,5,18,10,5.11,26.93,817.17
2020,5,18,11,5.03,23.61,934.12
2020,5,18,12,4.78,22.0,936.42
2020,5,18,13,4.42,21.34,872.0
2020,5,18,14,4.1,20.94,743.85
2020,5,18,15,3.91,21.14,565.88
2020,5,18,16,3.9,22.52,354.65
2020,5,18,17,3.95,25.49,148.57
2020,5,18,18,3.96,32.78,14.32
2020,5,18,19,4.82,46.59,0.0
2020,5,18,20,5.06,59.05,0.0
2020,5,18,21,4.84,65.2,0.0
2020,5,18,22,4.34,68.67,0.0
2020,5,18,23,4.13,70.94,0.0
2020,5,19,0,3.9,72.59,0.0
2020,5,19,1,3.76,73.65,0.0
2020,5,19,2,3.52,74.03,0.0
2020,5,19,3,3.16,73.93,0.0
2020,5,19,4,2.64,74.0,0.0
2020,5,19,5,2.16,74.42,5.55
2020,5,19,6,3.41,66.6,104.68
2020,5,19,7,3.78,55.11,278.05
2020,5,19,8,3.89,43.88,520.7
2020,5,19,9,3.9,35.78,716.62
2020,5,19,10,3.76,30.58,872.17
2020,5,19,11,3.62,27.18,931.22
2020,5,19,12,3.66,24.99,968.38
2020,5,19,13,3.98,24.06,884.3
2020,5,19,14,4.25,24.2,781.72
2020,5,19,15,4.35,25.06,603.45
2020,5,19,16,4.35,26.89,379.1
2020,5,19,17,4.3,30.1,167.5
2020,5,19,18,4.31,36.67,16.52
2020,5,19,19,4.47,46.91,0.0
2020,5,19,20,4.28,54.39,0.0
2020,5,19,21,4.01,61.17,0.0
2020,5,19,22,3.87,66.79,0.0
2020,5,19,23,3.69,71.88,0.0
2020,5,20,0,3.34,75.67,0.0
2020,5,20,1,2.91,78.38,0.0
2020,5,20,2,2.51,80.63,0.0
2020,5,20,3,2.2,82.26,0.0
2020,5,20,4,2.04,83.49,0.0
2020,5,20,5,2.09,84.13,6.18
2020,5,20,6,3.48,74.8,118.28
2020,5,20,7,3.79,58.61,310.33
2020,5,20,8,3.89,43.48,544.03
2020,5,20,9,3.75,33.51,713.75
2020,5,20,10,3.43,27.09,856.65
2020,5,20,11,3.21,23.04,934.53
2020,5,20,12,3.29,20.83,971.28
2020,5,20,13,3.63,19.84,908.08
2020,5,20,14,4.02,19.88,805.5
2020,5,20,15,4.3,20.74,602.72
2020,5,20,16,4.42,22.43,388.45
2020,5,20,17,4.55,26.02,167.88
2020,5,20,18,4.97,35.28,17.15
2020,5,20,19,5.34,49.38,0.0
2020,5,20,20,5.17,58.46,0.0
2020,5,20,21,4.99,64.36,0.0
2020,5,20,22,4.82,70.79,0.0
2020,5,20,23,4.49,77.07,0.0
2020,5,21,0,4.02,81.52,0.0
2020,5,21,1,3.66,83.75,0.0
2020,5,21,2,3.26,84.77,0.0
2020,5,21,3,2.84,85.51,0.0
2020,5,21,4,2.51,85.95,0.0
2020,5,21,5,2.36,86.16,6.57
2020,5,21,6,3.39,77.5,123.7
2020,5,21,7,3.55,60.12,326.05
2020,5,21,8,3.79,42.72,532.4
2020,5,21,9,4.11,32.38,711.47
2020,5,21,10,4.31,26.91,884.8
2020,5,21,11,4.4,23.63,947.4
2020,5,21,12,4.52,21.6,955.33
2020,5,21,13,4.65,20.54,909.88
2020,5,21,14,4.61,20.05,779.62
2020,5,21,15,4.46,20.12,596.5
2020,5,21,16,4.33,21.24,374.17
2020,5,21,17,4.31,24.64,166.12
2020,5,21,18,4.5,34.73,17.73
2020,5,21,19,4.85,49.68,0.0
2020,5,21,20,4.8,60.08,0.0
2020,5,21,21,4.75,68.24,0.0
2020,5,21,22,4.78,74.51,0.0
2020,5,21,23,4.74,79.47,0.0
2020,5,22,0,4.34,82.92,0.0
2020,5,22,1,3.82,84.21,0.0
2020,5,22,2,3.24,83.29,0.0
2020,5,22,3,2.57,79.98,0.0
2020,5,22,4,1.86,78.82,0.0
2020,5,22,5,1.45,78.48,6.72
2020,5,22,6,2.5,66.95,126.5
2020,5,22,7,2.73,49.97,333.67
2020,5,22,8,3.19,35.67,545.35
2020,5,22,9,3.72,27.66,733.95
2020,5,22,10,4.21,23.37,863.55
2020,5,22,11,4.54,21.13,958.22
2020,5,22,12,4.71,19.9,986.12
2020,5,22,13,4.81,19.6,934.8
2020,5,22,14,4.85,20.16,797.42
2020,5,22,15,4.76,21.15,613.72
2020,5,22,16,4.55,22.79,398.48
2020,5,22,17,4.35,26.61,179.45
2020,5,22,18,4.2,35.71,18.3
2020,5,22,19,4.36,49.55,0.0
2020,5,22,20,4.23,59.86,0.0
2020,5,22,21,3.87,67.58,0.0
2020,5,22,22,3.6,73.14,0.0
2020,5,22,23,3.38,78.05,0.0
2020,5,23,0,3.02,82.1,0.0
2020,5,23,1,2.44,85.65,0.0
2020,5,23,2,1.87,88.26,0.0
2020,5,23,3,1.34,90.34,0.0
2020,5,23,4,1.02,91.83,0.0
2020,5,23,5,0.82,91.93,7.0
2020,5,23,6,1.74,77.19,133.07
2020,5,23,7,2.74,55.26,354.88
2020,5,23,8,3.09,38.18,569.97
2020,5,23,9,3.12,25.75,766.08
2020,5,23,10,3.17,19.13,879.1
2020,5,23,11,3.27,16.06,999.12
2020,5,23,12,3.48,14.54,1001.45
2020,5,23,13,3.83,13.88,975.38
2020,5,23,14,4.15,13.87,809.65
2020,5,23,15,4.36,14.62,630.55
2020,5,23,16,4.34,16.16,403.6
2020,5,23,17,4.11,18.88,185.35
2020,5,23,18,3.36,26.52,19.48
2020,5,23,19,3.35,41.36,0.0
2020,5,23,20,3.39,54.61,0.0
2020,5,23,21,3.34,65.46,0.0
2020,5,23,22,3.18,74.35,0.0
2020,5,23,23,2.72,80.33,0.0
2020,5,24,0,1.95,84.03,0.0
2020,5,24,1,1.22,86.31,0.0
2020,5,24,2,0.88,87.6,0.0
2020,5,24,3,0.67,88.67,0.0
2020,5,24,4,0.56,89.67,0.0
2020,5,24,5,0.61,89.86,7.1
2020,5,24,6,0.89,75.81,133.7
2020,5,24,7,1.62,50.58,348.98
2020,5,24,8,2.38,35.25,566.53
2020,5,24,9,2.58,28.3,755.9
2020,5,24,10,2.84,23.46,906.85
2020,5,24,11,3.24,20.11,954.42
2020,5,24,12,3.68,18.09,979.22
2020,5,24,13,3.99,17.24,955.88
2020,5,24,14,4.09,17.21,786.15
2020,5,24,15,4.0,17.9,601.12
2020,5,24,16,3.83,19.07,361.7
2020,5,24,17,3.57,21.41,161.0
2020,5,24,18,3.25,27.38,17.67
2020,5,24,19,3.85,38.9,0.0
2020,5,24,20,4.07,50.54,0.0
2020,5,24,21,4.03,59.57,0.0
2020,5,24,22,3.96,67.4,0.0
2020,5,24,23,3.76,73.91,0.0
2020,5,25,0,3.3,78.49,0.0
2020,5,25,1,2.73,81.66,0.0
2020,5,25,2,2.23,83.96,0.0
2020,5,25,3,1.58,85.92,0.0
2020,5,25,4,1.04,87.34,0.0
2020,5,25,5,0.82,87.16,6.47
2020,5,25,6,1.66,73.29,118.85
2020,5,25,7,2.4,48.79,322.25
2020,5,25,8,2.83,35.0,551.67
2020,5,25,9,2.82,29.2,736.03
2020,5,25,10,2.9,25.09,863.35
2020,5,25,11,3.22,22.0,984.35
2020,5,25,12,3.69,19.88,978.7
2020,5,25,13,4.11,18.87,913.7
2020,5,25,14,4.35,18.72,784.6
2020,5,25,15,4.37,19.26,600.78
2020,5,25,16,4.27,20.61,388.98
2020,5,25,17,4.06,23.61,175.43
2020,5,25,18,3.88,30.99,18.9
2020,5,25,19,4.42,43.53,0.0
2020,5,25,20,4.64,53.46,0.0
2020,5,25,21,4.54,60.41,0.0
2020,5,25,22,4.18,67.15,0.0
2020,5,25,23,3.72,73.23,0.0
2020,5,26,0,3.12,78.15,0.0
2020,5,26,1,2.55,81.82,0.0
2020,5,26,2,2.1,84.63,0.0
2020,5,26,3,1.65,86.63,0.0
2020,5,26,4,1.36,87.64,0.0
2020,5,26,5,1.25,87.0,7.18
2020,5,26,6,2.34,73.89,132.3
2020,5,26,7,2.75,53.12,347.65
2020,5,26,8,3.1,38.26,572.78
2020,5,26,9,3.38,29.64,753.53
2020,5,26,10,3.93,23.66,900.7
2020,5,26,11,4.55,20.05,960.15
2020,5,26,12,5.08,18.26,983.35
2020,5,26,13,5.47,18.16,928.67
2020,5,26,14,5.64,19.5,789.42
2020,5,26,15,5.68,22.14,611.53
2020,5,26,16,5.73,26.73,397.98
2020,5,26,17,5.77,34.72,180.18
2020,5,26,18,5.69,47.14,20.1
2020,5,26,19,5.62,59.13,0.0
2020,5,26,20,5.67,66.39,0.0
2020,5,26,21,5.63,71.88,0.0
2020,5,26,22,5.41,75.76,0.0
2020,5,26,23,5.08,78.2,0.0
2020,5,27,0,4.76,79.76,0.0
2020,5,27,1,4.54,80.67,0.0
2020,5,27,2,4.28,81.1,0.0
2020,5,27,3,3.99,81.36,0.0
2020,5,27,4,3.62,81.71,0.0
2020,5,27,5,3.3,82.01,7.25
2020,5,27,6,3.9,76.35,122.8
2020,5,27,7,4.12,65.52,313.73
2020,5,27,8,4.32,53.0,509.92
2020,5,27,9,4.62,42.05,695.6
2020,5,27,10,5.0,34.09,834.0
2020,5,27,11,5.37,29.96,940.47
2020,5,27,12,5.73,28.8,970.35
2020,5,27,13,6.09,28.99,918.85
2020,5,27,14,6.34,30.22,822.45
2020,5,27,15,6.47,32.64,627.67
2020,5,27,16,6.58,37.87,413.25
2020,5,27,17,6.57,46.35,191.45
2020,5,27,18,6.35,56.96,22.02
2020,5,27,19,6.25,66.27,0.0
2020,5,27,20,6.2,71.65,0.0
2020,5,27,21,6.0,75.06,0.0
2020,5,27,22,5.84,77.38,0.0
2020,5,27,23,5.72,79.06,0.0
2020,5,28,0,5.58,79.89,0.0
2020,5,28,1,5.42,80.7,0.0
2020,5,28,2,5.39,80.91,0.0
2020,5,28,3,5.34,80.67,0.0
2020,5,28,4,5.2,79.6,0.0
2020,5,28,5,4.98,78.5,7.3
2020,5,28,6,5.43,73.17,122.68
2020,5,28,7,5.64,65.84,311.5
2020,5,28,8,5.65,58.4,514.65
2020,5,28,9,5.71,51.6,691.38
2020,5,28,10,5.88,45.62,865.9
2020,5,28,11,6.14,41.35,895.75
2020,5,28,12,6.44,39.13,953.12
2020,5,28,13,6.72,38.73,880.47
2020,5,28,14,6.88,39.68,768.8
2020,5,28,15,6.95,41.98,590.65
2020,5,28,16,6.97,46.79,388.67
2020,5,28,17,6.9,54.51,180.6
2020,5,28,18,6.67,63.57,21.05
2020,5,28,19,6.48,70.93,0.0
2020,5,28,20,6.26,75.56,0.0
2020,5,28,21,6.03,78.24,0.0
2020,5,28,22,5.75,79.76,0.0
2020,5,28,23,5.5,80.6,0.0
2020,5,29,0,5.2,80.77,0.0
2020,5,29,1,4.79,80.99,0.0
2020,5,29,2,4.59,81.25,0.0
2020,5,29,3,4.4,81.02,0.0
2020,5,29,4,4.16,81.56,0.0
2020,5,29,5,4.01,81.63,6.53
2020,5,29,6,4.53,77.17,103.47
2020,5,29,7,4.9,68.58,266.12
2020,5,29,8,5.02,61.85,502.55
2020,5,29,9,5.21,54.87,680.3
2020,5,29,10,5.43,50.42,826.08
2020,5,29,11,5.63,47.75,913.03
2020,5,29,12,5.8,47.03,961.03
2020,5,29,13,5.95,47.03,896.95
2020,5,29,14,5.97,47.52,797.15
2020,5,29,15,5.88,48.46,594.45
2020,5,29,16,5.72,51.29,385.55
2020,5,29,17,5.49,57.01,175.75
2020,5,29,18,5.17,64.95,20.85
2020,5,29,19,4.98,71.38,0.0
2020,5,29,20,4.92,74.85,0.0
2020,5,29,21,4.87,76.93,0.0
2020,5,29,22,4.84,78.06,0.0
2020,5,29,23,4.63,79.05,0.0
2020,5,30,0,4.33,80.12,0.0
2020,5,30,1,4.13,81.03,0.0
2020,5,30,2,3.89,81.19,0.0
2020,5,30,3,3.52,81.12,0.0
2020,5,30,4,3.03,81.31,0.0
2020,5,30,5,2.62,81.95,6.05
2020,5,30,6,3.25,78.69,95.95
2020,5,30,7,3.6,71.97,262.23
2020,5,30,8,3.61,66.12,507.55
2020,5,30,9,3.65,60.52,686.42
2020,5,30,10,3.66,55.94,817.58
2020,5,30,11,3.64,52.26,934.2
2020,5,30,12,3.65,49.71,955.05
2020,5,30,13,3.65,48.37,945.42
2020,5,30,14,3.59,47.98,773.9
2020,5,30,15,3.55,47.58,601.22
2020,5,30,16,3.56,48.59,388.23
2020,5,30,17,3.62,51.73,176.6
2020,5,30,18,3.5,57.64,20.83
2020,5,30,19,3.39,64.54,0.0
2020,5,30,20,3.6,70.24,0.0
2020,5,30,21,3.73,74.92,0.0
2020,5,30,22,3.78,78.37,0.0
2020,5,30,23,3.76,80.91,0.0
2020,5,31,0,3.66,82.7,0.0
2020,5,31,1,3.5,83.63,0.0
2020,5,31,2,3.25,84.14,0.0
2020,5,31,3,2.77,84.53,0.0
2020,5,31,4,2.21,84.49,0.0
